AJRD,0.026783294358457416,0.0339926517797653,0.04034322110265965,0.0476552399056135,0.05610560064278654
ASNA,0.0320298679912834,0.03926322486503865,0.048647609194172874,0.058737916156302875,0.06595533004818462
BGG,0.023802852727319555,0.028942715395988725,0.03527540971653403,0.04289262118815819,0.05149975672420748
CATO,0.03318187111547302,0.04181238981777949,0.05137521609600768,0.06081141123113022,0.06991163841658682
CROX,0.042176037368806304,0.055197636000545364,0.06846760649326097,0.08097678936744587,0.09484707370453925
DSPG,0.032871999147039206,0.04128079249619227,0.05434095117594765,0.06182723850612161,0.07363583505213482
SSP,0.030121123012731184,0.03358275207338378,0.04121624589491778,0.048488739772537655,0.05746067125178183
FOE,0.03312168601090826,0.04402764928553069,0.0533892917893947,0.06600711949862187,0.08051273335375787
FORR,0.024617075208833154,0.0290934723830492,0.03668976285678979,0.04366859188087016,0.05052786724417999
GIII,0.0395026169045669,0.053026277976801386,0.06011885072333983,0.07215392421647356,0.08788854337681319
GFF,0.02685793301413196,0.03370314334570115,0.04139734404400051,0.04959995585228352,0.05843717165344283
HAFC,0.03407460524828777,0.04301074604951688,0.049675924058376474,0.05864004741218106,0.06718856164017974
FIX,0.030099664694541846,0.037912916792902936,0.045395317059697037,0.0553980941375285,0.0655920728654671
CPSI,0.0284457387220859,0.03545702478929709,0.045441392074942036,0.05304088515068542,0.05783571210913053
CENTA,0.03276613569848615,0.04366263301356486,0.05466096771016753,0.06834832429161715,0.0808946312222633
CATM,0.0364746778810863,0.045258876934002754,0.053779117763975634,0.06612498872587928,0.07671606250547067
PLCE,0.03271402044110927,0.04058596299499463,0.04754659756275568,0.05663767121302502,0.06588745116934289
CORT,0.05897591265458269,0.06920051162168035,0.08715322231935047,0.10971026132388674,0.12706606776745755
DDD,0.038150615836129075,0.04619328176086344,0.05631153984684539,0.0697232585406408,0.08431522487830795
EGHT,0.06079392366283646,0.07368404029853032,0.08834186572843312,0.10717814082534631,0.12449365991801037
ABM,0.0194338035391705,0.02286444558700552,0.030164837595702952,0.03570610154520136,0.04123715052147595
ALG,0.024365061923231464,0.03152601222695029,0.03952936356288626,0.046732063277760506,0.0533993304829362
AMPH,0.03557863501504816,0.041661100918423934,0.05020445255660779,0.06287849264367086,0.07302506583108728
BCC,0.02688831768001979,0.03551815068812218,0.04708986881576252,0.055186944767607556,0.06367442136646906
CRCM,0.0401441637353123,0.05328151831964344,0.0652891825392131,0.07390876575983514,0.08181095091373387
B,0.02106365143577193,0.025827402241521764,0.031324947135029105,0.037938529200507956,0.045603134201020114
DIOD,0.03303706342991885,0.042080295426256804,0.05606021478288907,0.07067974126215594,0.08284823077738364
EHTH,0.03227079487967937,0.041701512433604905,0.049769090052326985,0.058182035861733504,0.06919514996556578
GHL,0.024331242014053706,0.031742349055389016,0.03992663724201168,0.04564888952347606,0.05342629032555677
HWKN,0.02344669155176507,0.02949324734047546,0.03635866253408179,0.04296703007149854,0.04805631761309238

